timestamp,model,provider,context,iteration,program_id,input_tokens,output_tokens,prompt_tokens,completion_tokens,total_tokens,accepted_prediction_tokens,reasoning_tokens,rejected_prediction_tokens,cached_tokens,cache_creation_input_tokens,cache_read_input_tokens
1766175698.329651,claude-sonnet-4-5,anthropic,evolution,1,2df56e40-5b3d-4d15-9c01-74ca99283703,2,2766,,,2768,,,,,5322,0
1766175698.497521,claude-sonnet-4-5,anthropic,evolution,3,2df56e40-5b3d-4d15-9c01-74ca99283703,2,2564,,,2566,,,,,5322,0
1766175700.565283,claude-sonnet-4-5,anthropic,evolution,2,2df56e40-5b3d-4d15-9c01-74ca99283703,2,2746,,,2748,,,,,5322,0
1766175702.8809645,claude-sonnet-4-5,anthropic,evolution,4,2df56e40-5b3d-4d15-9c01-74ca99283703,2,3007,,,3009,,,,,5322,0
1766175755.4153168,claude-sonnet-4-5,anthropic,evolution,5,2df56e40-5b3d-4d15-9c01-74ca99283703,2,2453,,,2455,,,,5322,0,5322
1766175838.9621754,claude-sonnet-4-5,anthropic,evolution,6,2df56e40-5b3d-4d15-9c01-74ca99283703,2,3685,,,3687,,,,,10777,0
1766175947.21553,gpt-5-mini,openai,evolution,7,9bd9f2c2-ec87-48f3-b983-5baffc18c3ec,11045,3554,11045,3554,14599,0,576,0,,,
1766176144.9324899,claude-sonnet-4-5,anthropic,evolution,9,9bd9f2c2-ec87-48f3-b983-5baffc18c3ec,2,3664,,,3666,,,,,28419,0
1766176154.1810732,claude-sonnet-4-5,anthropic,evolution,8,2df56e40-5b3d-4d15-9c01-74ca99283703,2,4244,,,4246,,,,,23066,0
1766176187.1036656,gpt-5-mini,openai,evolution,10,2df56e40-5b3d-4d15-9c01-74ca99283703,26125,4676,26125,4676,30801,0,448,0,,,
1766176217.5756702,claude-sonnet-4-5,anthropic,evolution,11,f31a656d-f25f-49ce-a74f-75ad4b57fbdf,2,3873,,,3875,,,,,7522,0
1766176255.5962985,gpt-5-mini,openai,evolution,12,ba1513ae-ce1d-40ef-b674-124a0850e0a9,19655,3574,19655,3574,23229,0,384,0,,,
1766176383.6929286,gpt-5-mini,openai,evolution,13,f2ff5779-a6f3-4cfb-8059-45b8067083ab,27409,2628,27409,2628,30037,0,512,0,,,
1766176578.3658159,gpt-5-mini,openai,evolution,14,a86e8267-6888-448b-a29f-1a6734dfdcba,27234,3994,27234,3994,31228,0,512,0,,,
1766176612.3137882,claude-sonnet-4-5,anthropic,evolution,15,ffb06dbc-1c1d-48f0-9ef4-5b9d92f1d051,2,2668,,,2670,,,,,34327,0
1766176679.1653876,claude-sonnet-4-5,anthropic,evolution,16,c6eaec2c-f3eb-4011-9081-ff0fa363f892,2,2348,,,2350,,,,,35629,0
1766176685.644829,gpt-5-mini,openai,evolution,17,18db6003-35ef-4b76-8c3b-1805c46d90d0,12717,3302,12717,3302,16019,0,832,0,,,
1766176737.035934,gpt-5-mini,openai,evolution,18,9bd9f2c2-ec87-48f3-b983-5baffc18c3ec,28995,3943,28995,3943,32938,0,512,0,,,
1766176749.029704,claude-sonnet-4-5,anthropic,evolution,19,18db6003-35ef-4b76-8c3b-1805c46d90d0,2,2595,,,2597,,,,,15240,0
1766176806.6267798,gpt-5-mini,openai,evolution,20,a86e8267-6888-448b-a29f-1a6734dfdcba,29553,3918,29553,3918,33471,0,640,0,,,
1766176811.8475645,gpt-5-mini,openai,evolution,21,18db6003-35ef-4b76-8c3b-1805c46d90d0,12717,3387,12717,3387,16104,0,576,0,,,
1766176825.2509084,gpt-5-mini,openai,evolution,22,ffb06dbc-1c1d-48f0-9ef4-5b9d92f1d051,31826,3506,31826,3506,35332,0,384,0,,,
1766176858.808911,gpt-5-mini,openai,evolution,23,fdcb917a-51b4-4acc-a4d4-370bd8baf6c3,21993,6245,21993,6245,28238,0,896,0,,,
1766176863.7714572,gpt-5-mini,openai,evolution,24,9f649235-b5c7-4a72-b7b6-b7df1ccd1e8e,27735,3639,27735,3639,31374,0,384,0,,,
1766176919.8164332,gpt-5-mini,openai,evolution,25,a86e8267-6888-448b-a29f-1a6734dfdcba,30817,3528,30817,3528,34345,0,448,0,11264,,
1766177007.408238,gpt-5-mini,openai,evolution,26,9f649235-b5c7-4a72-b7b6-b7df1ccd1e8e,27829,3560,27829,3560,31389,0,512,0,19328,,
1766177062.6734724,claude-sonnet-4-5,anthropic,evolution,27,ffb06dbc-1c1d-48f0-9ef4-5b9d92f1d051,2,3929,,,3931,,,,,38295,0
1766177119.9840405,gpt-5-mini,openai,evolution,28,ffb06dbc-1c1d-48f0-9ef4-5b9d92f1d051,32955,2778,32955,2778,35733,0,320,0,,,
1766177167.1583447,claude-sonnet-4-5,anthropic,evolution,30,9f649235-b5c7-4a72-b7b6-b7df1ccd1e8e,2,2794,,,2796,,,,,36970,0
1766177167.8690307,gpt-5-mini,openai,evolution,29,56c2c424-2d08-4f3a-ba39-5e32709ae53e,6707,4359,6707,4359,11066,0,1152,0,,,
1766177208.19826,gpt-5-mini,openai,evolution,31,18db6003-35ef-4b76-8c3b-1805c46d90d0,27717,2688,27717,2688,30405,0,576,0,,,
1766177244.66876,gpt-5-mini,openai,evolution,32,c9eead9e-775b-48fe-a659-e6ddf874d966,33310,3968,33310,3968,37278,0,320,0,,,
1766177277.9668891,gpt-5-mini,openai,evolution,34,3486900b-424f-478a-bce9-a828589f0d49,6707,4191,6707,4191,10898,0,1024,0,,,
1766177278.5132465,gpt-5-mini,openai,evolution,33,4ec828d0-b56f-4d12-8c5e-3bb104fa1575,31895,4937,31895,4937,36832,0,640,0,,,
1766177311.9809587,claude-sonnet-4-5,anthropic,evolution,35,262a9115-2431-43f6-9e20-f05a7c9fd0f6,2,4412,,,4414,,,,,16119,0
1766177391.7837346,claude-sonnet-4-5,anthropic,evolution,36,78bfd501-5d23-4418-a5db-8768aa8aaed4,2,4935,,,4937,,,,,41560,0
1766177433.0748603,gpt-5-mini,openai,evolution,37,c9eead9e-775b-48fe-a659-e6ddf874d966,34637,3490,34637,3490,38127,0,640,0,,,
1766177451.3077497,gpt-5-mini,openai,evolution,38,262a9115-2431-43f6-9e20-f05a7c9fd0f6,20444,4389,20444,4389,24833,0,832,0,,,
1766177493.193814,gpt-5-mini,openai,evolution,39,262a9115-2431-43f6-9e20-f05a7c9fd0f6,16907,4586,16907,4586,21493,0,1088,0,,,
1766177562.1125844,gpt-5-mini,openai,evolution,40,262a9115-2431-43f6-9e20-f05a7c9fd0f6,27638,4291,27638,4291,31929,0,384,0,,,
1766177586.9062388,gpt-5-mini,openai,evolution,41,18db6003-35ef-4b76-8c3b-1805c46d90d0,31209,2664,31209,2664,33873,0,448,0,,,
1766177636.1796963,gpt-5-mini,openai,evolution,42,c6eaec2c-f3eb-4011-9081-ff0fa363f892,32417,3914,32417,3914,36331,0,384,0,12288,,
1766177656.2025363,gpt-5-mini,openai,evolution,43,04895a84-8d19-4ff5-a548-df3d9799aa6c,34080,5108,34080,5108,39188,0,1024,0,19328,,
1766177717.3934937,gpt-5-mini,openai,evolution,45,3486900b-424f-478a-bce9-a828589f0d49,6707,5002,6707,5002,11709,0,960,0,6016,,
1766177729.458268,claude-sonnet-4-5,anthropic,evolution,44,29706117-7c90-451f-a1d1-a7c045fac8d1,2,5482,,,5484,,,,,42973,0
1766177754.7213118,gpt-5-mini,openai,evolution,46,5e5ead07-1f8f-4fb1-b52f-c0b509b19b65,26899,3397,26899,3397,30296,0,640,0,,,
1766177791.6037898,gpt-5-mini,openai,evolution,47,18db6003-35ef-4b76-8c3b-1805c46d90d0,31609,2953,31609,2953,34562,0,512,0,,,
1766177827.1466196,gpt-5-mini,openai,evolution,48,262a9115-2431-43f6-9e20-f05a7c9fd0f6,39421,3897,39421,3897,43318,0,384,0,,,
1766177957.927819,claude-sonnet-4-5,anthropic,evolution,49,41146c5e-4bc6-41b3-9ffe-256c83cc4a96,2,4838,,,4840,,,,,40276,0
1766178073.397513,gpt-5-mini,openai,evolution,50,29706117-7c90-451f-a1d1-a7c045fac8d1,40668,3788,40668,3788,44456,0,512,0,,,
1766178145.7884088,gpt-5-mini,openai,evolution,51,bc4e9d9d-311f-47c7-929e-6af8bbe72140,32739,4064,32739,4064,36803,0,576,0,,,
1766178172.4638865,gpt-5-mini,openai,evolution,52,d97b6015-3969-4e68-8845-7fd9478775e8,32613,3903,32613,3903,36516,0,384,0,,,
1766178183.1431303,gpt-5-mini,openai,evolution,53,4ec828d0-b56f-4d12-8c5e-3bb104fa1575,32714,3883,32714,3883,36597,0,256,0,,,
1766178222.184455,gpt-5-mini,openai,evolution,54,262a9115-2431-43f6-9e20-f05a7c9fd0f6,38554,4343,38554,4343,42897,0,640,0,,,
